,id_client,amount,total_purchase,recency
761,09bAA5056b3,1,0.0,1371
762,09bAb988420,1,0.0,1370
763,09bb90b34A8,1,0.0,1168
764,0A00A2460bA,2,35010.0,525
765,0A030668450,2,52884.0,511
766,0A042502080,1,0.0,1349
767,0A042826900,2,0.0,234
768,0A059835436,1,0.0,1374
769,0A05AA33289,1,35921.99,475
770,0A083039342,1,0.0,1182
771,0A09403b389,2,5310.0,1224
772,0A0A98b4040,1,0.0,1209
773,0A0AA826356,2,0.0,1183
774,0A2004086b5,2,4500.0,246
775,0A205b58Ab8,2,22050.0,21
776,0A239A6A433,1,0.0,1198
777,0A243b33560,1,0.0,1329
778,0A244Ab9655,2,18810.0,534
779,0A25553A6A4,5,0.0,28
780,0A259384039,1,0.0,1288
781,0A2836A263A,1,0.0,265
782,0A28955660A,2,0.0,429
